Shot,Club,Club_Name,Carry_Yards,Total_Yards,Roll_Yards,Ball_Speed_MPH,Club_Speed_MPH,Smash_Factor,Apex_Feet,Spin_Rate_RPM,Spin_Axis,Spin_Axis_Deg,Launch_Angle_Deg,Descent_Angle_Deg,Horiz_Angle_Deg,Face_Angle_Deg,Club_Path_Deg,Face_To_Path_Deg,Side_Carry_Yards,Side_Total_Yards,Offline_Yards,Offline_Direction,Proximity_Feet,Source,Angles_Note
16,SW,Sand Wedge,96.2,100.2,4.0,83.8,82.1,1.02,95.2,9670,1R,1.0,,,,,,,,,0.4,Right,N/A,session1,
17,SW,Sand Wedge,92.8,99.7,6.9,79.1,83.3,0.95,64.8,7600,0,0.0,,,,,,,,,0.0,Center,N/A,session1,
18,SW,Sand Wedge,86.2,92.0,5.8,80.8,81.6,0.99,97.8,10146,-1L,-1.0,,,,,,,,,-0.4,Left,N/A,session1,
19,SW,Sand Wedge,89.4,93.4,4.0,79.3,82.9,0.96,87.4,9421,1R,1.0,,,,,,,,,0.4,Right,N/A,session1,
20,SW,Sand Wedge,98.4,102.4,4.0,85.9,79.7,1.08,99.3,9987,-4L,-4.0,,,,,,,,,-1.8,Left,N/A,session1,
111,60,60 Degree,75.7,79.3,3.6,72.2,78.8,0.92,88.1,9917,3R,3.0,,,,,,,,,1.0,Right,N/A,session1,
112,60,60 Degree,73.0,76.7,3.7,68.4,81.8,0.84,78.0,9174,2R,2.0,,,,,,,,,0.7,Right,N/A,session1,
113,60,60 Degree,73.2,76.7,3.5,70.4,80.0,0.88,86.2,9826,3R,3.0,,,,,,,,,1.0,Right,N/A,session1,
114,60,60 Degree,76.5,80.1,3.6,73.6,80.5,0.91,91.2,10162,5R,5.0,,,,,,,,,1.7,Right,N/A,session1,
115,60,60 Degree,81.1,84.9,3.8,74.5,82.2,0.91,84.3,9513,0,0.0,,,,,,,,,0.0,Center,N/A,session1,
116,60,60 Degree,73.1,76.7,3.6,69.7,76.3,0.91,83.3,9599,0,0.0,,,,,,,,,0.0,Center,N/A,session1,
117,60,60 Degree,75.9,79.3,3.4,74.3,77.4,0.96,94.3,10557,12R,12.0,,,,,,,,,4.1,Right,N/A,session1,
118,60,60 Degree,74.2,77.8,3.6,70.3,77.8,0.9,80.3,9639,19R,19.0,,,,,,,,,6.3,Right,N/A,session1,
119,60,60 Degree,69.6,73.3,3.7,66.2,76.5,0.87,77.1,9149,2R,2.0,,,,,,,,,0.6,Right,N/A,session1,
120,60,60 Degree,74.4,78.0,3.6,71.4,80.1,0.89,86.8,9801,0,0.0,,,,,,,,,0.0,Center,N/A,session1,
